"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A000406625","4451756","2016/07/19","6:45:00","2016","JULIO","MARTES","KR 7-CL 1A S","CON HERIDOS","CHOQUE","SAN CRISTOBAL","BOGOTA DC","2016/07/19 06:45:00+00","4.5845","-74.0822"
"A001296346","10538184","2021/04/18","19:50:00","2021","ABRIL","DOMINGO","KR 13 BIS-CL 50 S","CON HERIDOS","ATROPELLO","RAFAEL URIBE URIBE","BOGOTA DC","2021/04/18 19:50:00+00","4.5643609","-74.12398929"
"A001511739","10578220","2022/08/10","19:40:00","2022","AGOSTO","MIERCOLES","CL 139 -KR 128 A ","CON HERIDOS","CAIDA DE OCUPANTE","SUBA","BOGOTA DC","2022/08/10 19:40:00+00","4.746","-74.11"
"A001455889","10575880","2022/07/10","14:00:00","2022","JULIO","DOMINGO","CL 26 -KR 96 ","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2022/07/10 14:00:00+00","4.685","-74.125"
"A000764698","4514131","2018/04/05","8:00:00","2018","ABRIL","JUEVES","AV AVENIDA CARACAS-CL 57","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2018/04/05 08:00:00+00","4.6440701","-74.06551685"
"A001301210","10543379","2021/06/28","8:10:00","2021","JUNIO","LUNES","AU NORTE-CL 127 B ","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2021/06/28 08:10:00+00","4.70924047","-74.05311235"
"A000408798","4453708","2016/08/08","7:30:00","2016","AGOSTO","LUNES","CL 80-KR 58","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2016/08/08 07:30:00+00","4.67852953","-74.07413166"
"A001514387","10581573","2022/09/24","12:40:00","2022","SEPTIEMBRE","SABADO","KR 24 -CL 42  S","SOLO DANOS","CHOQUE","RAFAEL URIBE URIBE","BOGOTA DC","2022/09/24 12:40:00+00","4.58","-74.124"
"A001303533","10540751","2021/05/26","14:30:00","2021","MAYO","MIERCOLES","KR 30 -CL 92 ","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2021/05/26 14:29:59+00","4.68114281","-74.06624523"
"A000407408","4451977","2016/07/21","18:10:00","2016","JULIO","JUEVES","CL 13-KR 31","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2016/07/21 18:10:00+00","4.61556086","-74.09311393"
"A000814448","10446926","2018/05/05","15:30:00","2018","MAYO","SABADO","KR 78K-CL 3","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2018/05/05 15:30:00+00","4.62402667","-74.15327146"
"A001348868","10556245","2021/11/24","20:10:00","2021","NOVIEMBRE","MIERCOLES","CL 82  S- KR 15  E","CON HERIDOS","CHOQUE","USME","BOGOTA DC","2021/11/24 20:10:00+00","4.50545895","-74.08802939"
"A000645135","4495450","2017/10/02","18:35:00","2017","OCTUBRE","LUNES","CL 17-KR 6","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2017/10/02 18:35:00+00","4.64413992","-74.12122938"
"A001180161","10523632","2020/08/22","17:21:00","2020","AGOSTO","SABADO","CL 170-KR 13","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2020/08/22 17:21:00+00","4.79042411","-74.0940725"
"A001297874","10537978","2021/04/15","18:40:00","2021","ABRIL","JUEVES","KR 6-CL 17 S","CON HERIDOS","CHOQUE","SAN CRISTOBAL","BOGOTA DC","2021/04/15 18:40:00+00","4.57601281","-74.08896232"
"A001058535","10501501","2019/10/31","8:14:00","2019","OCTUBRE","JUEVES","CL 30B-KR 2 SE","SOLO DANOS","CHOQUE","SAN CRISTOBAL","BOGOTA DC","2019/10/31 08:13:59+00","4.56193063","-74.09115245"
"A001346695","10555037","2021/11/05","17:22:00","2021","NOVIEMBRE","VIERNES","CL 24 -AV AVENIDA BOYACA","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2021/11/05 17:22:00+00","4.661","-74.116"
"A1068","4404497","2015/02/10","14:00:00","2015","FEBRERO","MARTES","KR 14-CL 42","CON HERIDOS","ATROPELLO","CHAPINERO","BOGOTA DC","2015/02/10 14:00:00+00","4.63003789","-74.06791937"
"A000239694","4424789","2015/09/25","12:30:00","2015","SEPTIEMBRE","VIERNES","KR 113-CL 17","CON HERIDOS","CHOQUE","FONTIBON","BOGOTA DC","2015/09/25 12:30:00+00","4.68109361","-74.15335553"
"A1139","4404895","2015/02/13","6:10:00","2015","FEBRERO","VIERNES","KR 92-CL 127","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2015/02/13 06:10:00+00","4.71880977","-74.09365636"
"A5888","4413815","2015/05/25","6:40:00","2015","MAYO","LUNES","CL 17-KR 113","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2015/05/25 06:40:00+00","4.68104726","-74.15342042"
"A001391288","10562432","2022/02/02","16:30:00","2022","FEBRERO","MIERCOLES","KR 27 -CL 1 G ","CON HERIDOS","CAIDA DE OCUPANTE","LOS MARTIRES","BOGOTA DC","2022/02/02 16:30:00+00","4.59888102","-74.09968982"
"A001034225","10494478","2019/08/22","14:11:00","2019","AGOSTO","JUEVES","KR 68A-CL 10","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2019/08/22 14:10:59+00","4.68984626","-74.07171406"
"A000279941","4432614","2015/12/20","23:00:00","2015","DICIEMBRE","DOMINGO","CL 192C-KR 102A","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2015/12/20 23:00:00+00","4.7354","-74.0975"
"A001299203","10539194","2021/05/03","15:13:00","2021","MAYO","LUNES","KR 27-CL 75","CON HERIDOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2021/05/03 15:13:00+00","4.66653028","-74.06658561"
"A21041","4468364","2016/12/23","8:30:00","2016","DICIEMBRE","VIERNES","KR 80-CL 26 S","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2016/12/23 08:29:59+00","4.63073962","-74.15527196"
"A001239292","10532224","2021/02/03","21:00:00","2021","FEBRERO","MIERCOLES","AU NORTE-CL 92","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2021/02/03 21:00:00+00","4.679","-74.058"
"A000691160","4501238","2017/11/28","19:19:00","2017","NOVIEMBRE","MARTES","CL 72-KR 10","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2017/11/28 19:18:59+00","4.65659203","-74.05771776"
"A001130067","10507353","2019/12/30","20:00:00","2019","DICIEMBRE","LUNES","CL 24A-KR 69","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2019/12/30 20:00:00+00","4.65695925","-74.11136593"
"A000279878","4432563","2015/12/19","3:50:00","2015","DICIEMBRE","SABADO","CL 19-KR 13","SOLO DANOS","CHOQUE","SANTA FE","BOGOTA DC","2015/12/19 03:49:59+00","4.6080529","-74.07529093"
"A001032446","10493951","2019/08/16","20:00:00","2019","AGOSTO","VIERNES","CL 143B-KR 141","CON HERIDOS","ATROPELLO","SUBA","BOGOTA DC","2019/08/16 20:00:00+00","4.75157348","-74.11479165"
"A000341793","4437388","2016/02/20","17:25:00","2016","FEBRERO","SABADO","AV AVENIDA DEL SUR-CL 10 S","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2016/02/20 17:25:00+00","4.59837976","-74.10837723"
"A001511714","10578405","2022/08/15","20:50:00","2022","AGOSTO","LUNES","KR 13 -CL 4  S","CON HERIDOS","CHOQUE","ANTONIO NARINO","BOGOTA DC","2022/08/15 20:50:00+00","4.588134","-74.09107479"
"A001392142","10562687","2022/02/06","16:34:00","2022","FEBRERO","DOMINGO","KR 80 -CL 55  S","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2022/02/06 16:34:00+00","4.615","-74.175"
"A000757733","4507174","2018/01/31","17:15:00","2018","ENERO","MIERCOLES","KR 7-CL 1D","CON MUERTOS","ATROPELLO","SANTA FE","BOGOTA DC","2018/01/31 17:15:00+00","4.58801512","-74.08116382"
"A000341652","4438044","2016/02/27","9:40:00","2016","FEBRERO","SABADO","AC 82-KR 16","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2016/02/27 09:40:00+00","4.66779096","-74.05714487"
"A000813411","4515874","2018/04/24","20:00:00","2018","ABRIL","MARTES","KR 41-CL 20","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2018/04/24 20:00:00+00","4.62573349","-74.0956481"
